,z,LIR_med,LIR_16th,LIR_84th,LPeak_med,LPeak_16th,LPeak_84th,alpha_med,alpha_16th,alpha_84th,beta_med,beta_16th,beta_84th,tdust_med,tdust_16th,tdust_84th
0,1.223467230796814,12.430959232186092,0.024416464548349157,0.024418097996004612,73.05772275339775,4.104070414294128,4.007392525607656,3.0676584887690668,0.1292721812264066,0.15037897517966536,1.880908821188938,0.4137710510814725,0.41985905200430196,68.76480757783506,3.770810084390945,4.3927825326517365
1,1.5722999572753906,12.327516471139798,0.05560538971856001,0.05558300403425157,75.47829184879129,9.412121524038554,13.322959195743806,2.7060123459267604,0.24549443886758437,0.24333954748683162,1.952916361175823,0.4272142872900244,0.4182465939870814,66.52170363101467,11.02409364859271,10.105373583127417
2,0.5120000243186951,10.907273355031064,0.10295394233030675,0.10013202756295865,107.8645940637205,18.204400628884883,17.467696494527488,2.5441371864180575,0.35654092493814415,0.39655223829390795,1.9911809443979431,0.4199471874394447,0.43102168732783386,43.349469246623094,8.32885919903854,11.526856609219898
3,0.965499997138977,12.037123822351058,0.029862079593722925,0.030114797036558196,76.0333607309616,7.530713419683153,6.930296675485565,2.622850599125691,0.15487963868196175,0.2081466405223873,2.0539419291542336,0.4183450922230114,0.4161941268055105,66.31110225818571,6.0187431144613015,7.705094804432861
4,1.7301734685897827,12.45778177376264,0.04798706893465018,0.047777903961601434,99.23695938885294,10.504103857147058,9.39773866341595,1.7468659186523974,0.10757611525980204,0.11466949958903383,2.1046213202472464,0.3911226429661021,0.39959491644954337,48.90576483110495,5.224470943425175,6.82307791297648
7,0.7716000080108643,11.589685105137862,0.05513368446032231,0.05525946608281927,90.59185182963463,17.316129536324496,17.504073453714525,2.023476991203762,0.21698770330531603,0.28743612604244895,1.990378470841171,0.43604837994423384,0.4338294242482166,54.22697026974191,10.920505749792987,14.464123528915366
8,1.2125999927520752,11.99456821925109,0.07860539787352748,0.07874892118806372,102.72585789789963,10.807155288209657,13.068540144692179,2.3469069237340063,0.21053971054061016,0.1829255266025429,1.99784694147385,0.40173653933479114,0.4204467293796812,46.36128081889669,6.945394029320795,6.840164627553243
9,0.9564999938011168,11.916570554631772,0.06262376602517403,0.07745528119134618,99.02979539249357,16.853707318812937,15.549781436302268,2.1454257340357845,0.22090104417442902,0.34409824900802954,1.791989306871141,0.4313551585172086,0.4300850261978031,47.872474263407184,8.463825995388056,12.21969553175645
10,1.2538000345230105,12.465046505908447,0.024904829506560942,0.024960443526701202,91.13959353157598,3.32618287822028,3.419694316393759,2.9310974012463866,0.09026634831684088,0.0951530109672234,2.0203780423135336,0.3518803711712466,0.37236699287092145,54.094758324365614,2.032333879440799,2.180554188703475
11,0.6092000007629395,11.365285567934277,0.04689183867490067,0.045789359280264466,124.73135715310302,9.466574008671486,9.621184755232505,2.247671311087319,0.12619182893767622,0.1315943075901873,1.9873379441682695,0.39744464302521165,0.4045025000350795,35.17942540025453,3.7037324777100444,4.20113862860687
12,1.809399962425232,12.71332290300806,0.028430091821087407,0.029703844790773256,60.26130769550619,4.337677768235629,3.984633365963006,2.5212338534837384,0.11739462767226572,0.13181498241357525,2.0918736612336515,0.41109995787324727,0.4190309999535211,84.43016999003918,5.254283824906807,6.6255825629887966
13,0.747,11.62440587900786,0.06593584792292405,0.06375252142642096,106.99165349764559,13.027324592895383,11.195526138026963,2.0912265413761704,0.1626424048739672,0.16224988911620253,2.085231997354595,0.3916054000588447,0.40679131468249974,44.147045748919396,5.652030258153765,7.9309887898614875
14,0.8458999991416931,11.640562646357655,0.04961736056406033,0.0489235246748413,81.31566814093442,13.350853214474057,12.561154847851824,2.2315052391377677,0.20273416451749737,0.2860742549651105,1.9413820616454254,0.43352320114636056,0.4285099056739059,61.34224942696491,9.650877866354953,13.002449863145955
15,0.4650000035762787,10.942803970564793,0.06434236040669285,0.06444126802964274,106.24458811217404,18.7930353068473,18.21726457081469,2.1724894980586953,0.21755086290253756,0.2856542422319883,1.9717201612518216,0.43381358520417,0.44052266760389136,44.246785014440036,8.893315734782902,12.14091135343213
16,0.3285000026226044,11.039345629693234,0.02345052247605325,0.024012876882376636,118.53461304581283,5.2612170414586075,4.804151358757068,2.4581297841751715,0.08802903264640749,0.0995706699302299,1.9118571616294124,0.40577983440939946,0.42101896665278105,37.73585445147826,2.0006913756471576,2.506888825176439
17,0.8032,11.644535858350512,0.044738904807275534,0.04313391539307136,113.16213240328206,8.135176965614733,8.98106238163983,2.254541299574463,0.118690689309072,0.12395798403049252,2.1269858124874763,0.38758583546507674,0.3921637964676332,40.90409036975341,4.202627831682349,4.376421755827785
19,1.885200023651123,12.488943926561237,0.05715734548451639,0.05784306519091474,104.90399614788674,9.449307509876505,10.081394812101365,1.754353291534263,0.12511124085682734,0.12279056862700544,2.0951041734853018,0.4063625687285848,0.40319897822043727,45.373014171172066,5.055063882875999,5.459547250024613
20,0.2764999866485596,10.554062405999227,0.044260565285238376,0.04428125213127332,112.5148099099535,11.639302627173535,11.354407662309342,2.506913874766812,0.17680519662122274,0.2332041460951162,1.8965718793016593,0.4342204180327176,0.4372875673769383,40.68095412737455,5.1986050835743285,6.516976718852639
