,z,F24,F70,F100,F160,F250,F350,F500,F850,F1point1mm,F1point2mm,E24,E70,E100,E160,E250,E350,E500,E850,E1point1mm,E1point2mm,RA24,DEC24
12,1.809399962425232,0.4909999966621399,0.0,16.738000869750973,26.67300033569336,24.745399475097656,17.69529914855957,6.5903000831604,-0.8521021007475137,0.0,0.0,0.03104355760201373,-99.0,1.574772248749756,3.568240899969757,5.8838538112610745,6.339637038437707,6.805107735245472,1.4364310205133983,0.0,0.0,150.743528,1.674452
13,0.747,0.5040000081062317,0.0,9.604999542236328,0.0,21.94109916687012,11.627599716186525,1.8464000225067136,-0.4770999023982506,0.0,0.0,0.02985029388040258,-99.0,1.938083704967652,-99.0,5.8660258209660725,6.31714506088437,6.800401069706769,1.3828565565073696,0.0,0.0,149.846293,1.6801150000000002
14,0.8458999991416931,0.4280000030994415,0.0,9.059000015258787,12.779999732971193,10.308600425720217,5.636199951171875,0.0,1.550627550591251,0.0,0.0,0.027963547320356764,-99.0,1.5274524307602324,3.053100943576612,5.814639076364022,6.304032582389097,17.493000030517578,1.3835192186215466,0.0,0.0,150.414384,1.685487
15,0.4650000035762787,0.3610000014305115,0.0,7.327000141143799,12.064000129699707,12.13010025024414,1.9810999631881716,0.0,0.8171644957163959,0.0,0.0,0.024795211916693143,-99.0,1.8301257470286627,3.48160420538194,5.820259696210262,6.300498362137923,8.842000007629395,1.3700138169814604,0.0,0.0,150.581397,1.686159
16,0.3285000026226044,0.7039999961853027,0.0,22.60300064086914,40.46799850463867,18.861400604248047,6.159599781036378,1.955199956893921,2.8339127228988734,0.0,0.0,0.03909015244257708,-99.0,1.4400575997627532,4.382873814275288,5.848863470145828,6.304816021989862,6.800449727113223,1.070178769983882,0.0,0.0,150.119846,1.692437
17,0.8032,0.3109999895095825,0.0,7.0809998512268075,20.11599922180176,20.23909950256348,12.08810043334961,8.148300170898438,-1.0860544675205135,0.0,0.0,0.022311488251707836,-99.0,1.50862021454909,3.144685238234958,5.856226928482148,6.318527951614901,6.807806671247362,1.349755374711778,0.0,0.0,149.630989,1.7024830000000002
19,1.885200023651123,0.4000000059604645,0.0,3.4030001163482666,0.0,25.84000015258789,23.67539978027344,15.713000297546387,3.1243612463650767,0.0,0.0,0.02500000003725291,-99.0,1.087035677931918,-99.0,5.891377510618139,6.370780116093258,6.828985093362051,1.351206319173097,0.0,0.0,150.73408999999998,1.722619
20,0.2764999866485596,0.375,0.0,12.057000160217285,15.79300022125244,10.027299880981444,6.315199851989746,0.0,1.420466879977646,0.0,0.0,0.025309336842589316,-99.0,1.6771026162927998,3.7604413699526433,5.813851975123294,6.305062315209336,9.937999725341797,1.0497562544865866,0.0,0.0,150.063635,1.736891
21,1.611600041389465,0.6499999761581421,0.0,0.0,0.0,29.98970031738281,31.170900344848636,19.97480010986328,0.15832067119021176,0.0,0.0,0.047762432234390834,-99.0,-99.0,-99.0,5.922753700788367,6.422195889669948,6.846779405171922,1.5600090941538076,0.0,0.0,149.39918799999998,1.741532
22,1.259087085723877,0.4189999997615814,0.0,14.949999809265135,20.875999450683594,19.12980079650879,14.700499534606935,10.006199836730957,2.9,0.0,0.0,0.02576630531221404,-99.0,1.7441470520356666,3.6001800537609694,5.850258015303477,6.327382357539897,6.811769113547238,1.1095156600967828,0.0,0.0,150.05038000000002,1.7444509999999998
23,0.8309000134468079,0.12700000405311584,0.0,16.007999420166016,23.32600021362305,9.57979965209961,4.7280001640319815,3.657700061798096,-0.2984747172554762,0.0,0.0,0.016288722863240228,-99.0,2.336839529054192,3.947842371998696,5.812644501274699,6.302837962131165,6.8015737907919025,1.338078026752166,0.0,0.0,150.73842199999999,1.7483509999999998
24,1.323199987411499,0.1040000021457672,0.0,0.0,12.795000076293945,17.62150001525879,18.017000198364254,11.32409954071045,1.7838731183732977,0.0,0.0,0.0196987303626348,-99.0,-99.0,3.869000456928257,5.842672985925227,6.341086631945393,6.815069799250237,1.3549085071360467,0.0,0.0,149.533411,1.7512869999999998
25,0.6047000288963318,0.31200000643730164,0.0,12.791999816894533,19.981000900268555,11.539199829101562,11.080100059509276,0.0,-4.657528462044212,0.0,0.0,0.042934367801524896,-99.0,1.4464294510377145,3.714015927957485,5.8183369627680985,6.3155704245717965,14.626999855041506,1.4271125335833286,0.0,0.0,149.734433,1.754807
26,0.3456999957561493,0.4679999947547913,0.0,9.14900016784668,12.092000007629395,8.059300422668457,2.1949999332427983,0.0,3.1109654599317675,0.0,0.0,0.02952219436002748,-99.0,1.4627994600604208,3.6769513463805175,5.808952032620387,6.3006117829565635,6.8,1.3674330070705882,0.0,0.0,149.673953,1.7513580000000002
27,0.2828,0.6140000224113464,0.0,15.833999633789062,31.0,14.88129997253418,7.315499782562256,2.7051000595092773,1.402257326120321,0.0,0.0,0.034619215663003265,-99.0,1.556161786278398,4.935314430328322,5.830465242345253,6.306792089431035,6.800860835668608,1.3279303816461938,0.0,0.0,149.56555500000002,1.7552419999999997
28,0.8514000177383423,0.5099999904632568,0.0,9.159000396728516,24.61199951171875,19.7189998626709,13.34340000152588,0.0,0.4554533829223523,0.0,0.0,0.030647185957163408,-99.0,1.7343862394399658,4.214594314805652,5.853387252602925,6.322568632902388,7.868000030517577,1.2743289610713815,0.0,0.0,149.915797,1.7568400000000002
29,1.6480000019073486,0.24699999392032626,0.0,0.0,0.0,16.682899475097653,20.84119987487793,21.06789970397949,2.583856095845908,0.0,0.0,0.01942993778768525,-99.0,-99.0,-99.0,5.838262636763949,6.3549169136629455,6.852019427635847,1.3437752315285847,0.0,0.0,149.55196899999999,1.7682689999999999
30,1.5063999891281128,0.09799999743700027,0.0,9.961000442504883,27.3129997253418,25.561899185180664,15.171799659729006,7.488800048828125,0.3224345538954457,0.0,0.0,0.016733500024287383,-99.0,1.9156858789469355,4.6278084318637855,5.889436059923339,6.329162156862781,6.806594699398086,1.2967444917800082,0.0,0.0,150.427607,1.7684849999999999
31,0.4300999939441681,0.4280000030994415,0.0,14.114999771118164,19.64699935913086,12.342599868774414,2.6101000308990483,0.0,0.6284538410082068,0.0,0.0,0.027963547320356764,-99.0,1.5978641912566751,4.937938065033653,5.820974457462691,6.3008650354910865,6.8,1.3814384696304849,0.0,0.0,149.758893,1.7820150000000001
32,1.6160999536514282,0.15800000727176666,0.0,0.0,12.380000114440918,19.37700080871582,20.28190040588379,14.219499588012695,3.834526325716497,0.0,0.0,0.017844047468648795,-99.0,-99.0,3.5289175041796517,5.8515595405452006,6.352020841788753,6.823746087718503,1.3390661024751724,0.0,0.0,150.5061,1.7892290000000002
33,0.5597000122070312,0.2160000056028366,0.0,13.291999816894533,26.70100021362305,25.863800048828125,15.920999526977539,0.0,0.4948193707189566,0.0,0.0,0.020140507378482605,-99.0,1.4798541215204382,3.919330270513308,5.891544606021856,6.3321059025809765,11.159000396728516,1.376119106645315,0.0,0.0,149.797708,1.805754
34,0.8353999853134155,0.35600000619888306,0.0,3.3989999294281006,20.18400001525879,22.05389976501465,15.617799758911133,5.0293002128601065,-0.4646210421650209,0.0,0.0,0.054017033552012386,-99.0,1.116918164611878,3.7108912701129335,5.866702582520483,6.330897651273088,6.802975097485637,1.2019590518850949,0.0,0.0,150.420286,1.81623
