,z,IRAS_S12,WISE_S12,WISE_S22,IRAS_S25,IRAS_S60,IRAS_S100,HAT_S100,HAT_S160,HAT_S250,HAT_S350,HAT_S500,IRAS_E12,WISE_E12,WISE_E22,IRAS_E25,IRAS_E60,IRAS_E100,HAT_E100,HAT_E160,HAT_E250,HAT_E350,HAT_E500,RA_RIFSCz,DEC_RIFSCz
22,0.026260000000000002,0.0,25.15,43.33,0.0,538.0,1814.0,1589.7293628042194,1902.6085369627176,897.8475300510228,374.6861854943335,121.01700000000001,24.459412445980988,2.5149999999999997,4.333,17.415768194070086,67.87581551582856,228.86010375832376,107.06979721548436,113.53784928840892,40.41822121024075,22.973699681385032,9.748274649249373,202.15904,33.605109999999996
23,0.02628,0.0,10.28,16.44,0.0,203.0,0.0,457.53909631712867,672.2257102124532,413.3294203233367,161.36100000000005,66.36399999999999,24.459412445980988,1.028,1.8496801,17.415768194070086,43.348870680041024,133.07220383275262,139.75844311087187,114.18967022886456,75.2329966447446,10.630852082069982,9.202246563963463,194.57599,29.128782
24,0.02634,0.0,6.57,21.48,0.0,245.0,727.0,436.5194582354278,451.82247246109705,199.32711128667,99.296406675756,32.719,24.459412445980988,1.0,2.1540107999999996,17.415768194070086,45.962981615778,143.0683139847594,73.74430368026724,69.10745140976748,17.26639770653455,15.574955608474374,8.92004590063229,207.16873,31.460888
25,0.02642,0.0,4.56,13.0,0.0,228.0,494.0,572.5809491281435,546.6625096005648,261.10257951623197,120.44755433700979,53.013000000000005,24.459412445980988,1.0,1.423025,17.415768194070086,46.04172050277301,133.0135711400227,89.74129057565428,80.49339704599663,20.316721293999397,17.02992281230972,8.293993094332233,196.09451,28.810765999999997
26,0.026639999999999997,0.0,25.46,44.75,0.0,777.0,2462.0,2693.125031848401,3529.4615510976314,1841.6701140117648,768.8786659035385,267.6941692367792,24.459412445980988,2.5460000000000003,4.475,17.415768194070086,87.80472668785428,278.2177943646093,176.71338550915902,192.6407041777059,78.21821010423704,38.50385998598801,20.755609778548813,195.23358000000002,27.790852
27,0.026660000000000003,0.0,9.15,17.72,0.0,207.0,882.0,739.1580634863003,922.8219863259419,495.53732015860083,237.43513777159157,91.27602609993816,24.459412445980988,1.0,1.85631,17.415768194070086,42.95329892476885,161.83832392088146,75.48195573036126,76.18904015358437,25.04357241533141,17.79945551548652,13.717599664115971,194.54193,32.016518
28,0.02671,0.0,13.99,64.21,0.0,375.0,0.0,531.1953460380249,441.02032704843214,171.9143216749877,80.19,49.979,24.459412445980988,1.399,6.420999999999999,17.415768194070086,53.03300858899106,133.07220383275262,60.42017156651552,64.14973841288716,13.333980290789164,8.831120073920408,8.91114452276474,132.8036,1.061908
29,0.026789999999999998,0.0,11.57,27.14,0.0,328.0,0.0,616.7078283954729,412.78076124445715,174.352,74.265,39.143,24.459412445980988,1.157,2.714,17.415768194070086,52.50561842146335,133.07220383275262,46.82358791360633,48.285256354457566,10.255475983063773,8.77007916878971,8.827692967071629,200.84586000000002,33.72399
30,0.026810000000000004,0.0,25.62,120.89,116.0,883.0,1200.0,1286.0319958508016,858.6138261282518,394.7072603780329,136.879,38.327,24.459412445980988,2.5620000000000003,12.089,33.428539369425984,96.28490470747431,170.56488011528626,96.54160842074104,85.75200338814105,23.671894210692386,9.847433171467904,8.711029056361685,203.93767,27.867619
31,0.02695,0.0,7.93,16.6,0.0,383.0,1071.0,934.2302427843363,1485.3928687212615,852.0997008006572,409.5740116765202,151.446735777244,24.459412445980988,1.0,1.8318396000000001,17.415768194070086,55.00834920470104,164.25391142872553,121.93330529152193,116.52589737529064,40.22938836481747,25.50279950956909,16.722902512845426,192.40361000000001,30.845512
32,0.0273,0.0,6.75,10.87,0.0,204.0,498.0,434.9974857420996,393.37069320417197,210.54936096896233,85.92,29.949,24.459412445980988,1.0,1.2959826,17.415768194070086,41.751656128482644,143.51217695075832,68.02458388171311,69.94025522490668,14.735058006234704,8.824736723551588,8.90990174814515,221.05716,2.134643
33,0.02744,0.0,8.25,9.58,0.0,215.0,0.0,457.2126511792075,556.8004795559198,241.85,103.399,34.615,24.459412445980988,1.0,1.3432382,17.415768194070086,48.07546151624548,133.07220383275262,43.18719702135379,52.86509168349114,12.222404673385675,9.266252161559171,9.062397759975008,176.31261999999998,-1.7027599999999998
34,0.02775,0.0,6.91,10.15,0.0,184.0,726.0,798.342537129283,1159.4411267133055,602.9803774745465,297.6574140470326,125.68543780998888,24.459412445980988,1.0,1.3397322,17.415768194070086,39.88271559806019,155.03093339815388,188.9279451311629,171.5595393620033,35.840893655026996,26.715818419420852,19.89566351856559,136.30486000000002,-0.496605
35,0.027999999999999997,0.0,8.61,15.82,0.0,338.0,1092.0,550.3896933285139,1177.4446486767213,742.5620097028984,356.37563667388184,104.045,24.459412445980988,1.0,1.7456536,17.415768194070086,51.1634459929065,166.3707261163215,146.8045499402569,125.26217250890602,83.54667640051301,51.028797897822884,9.027049188341724,205.07483,26.349553999999998
36,0.02817,0.0,11.0,24.34,0.0,280.0,547.0,760.2964660045653,752.367005168233,323.189,137.072,56.983000000000004,24.459412445980988,1.1,2.828927,17.415768194070086,45.89459717207219,153.99004826038885,46.30546148242821,56.60710959760537,14.802226439073278,9.72579364856154,8.81962015408827,133.49452,0.350043
37,0.02817,0.0,32.7,121.45,178.0,1021.99994,1894.0,1978.148038049042,1529.6253327268362,627.8276264462918,248.861,70.02600000000001,24.459412445980988,3.2700000000000005,12.145,31.03952756975254,108.98441338664752,227.6304777316981,91.41669249686127,90.82412914744349,29.47634296409063,12.887867065081586,9.10928527760197,206.19838000000001,31.615692
38,0.02827,0.0,20.52,34.93,0.0,366.0,1111.0,1176.0901321681215,1368.5092836029455,582.5104215371908,235.18152068898084,95.978,24.459412445980988,2.052,3.493,17.415768194070086,52.02229017157246,177.8467755848767,67.07324751636129,78.76502737701495,28.710215985239426,18.276053109950475,9.32131312500551,134.44716,-0.199955
39,0.02833,0.0,7.34,8.18,0.0,225.0,0.0,612.1008679614662,539.6913732912541,345.04376001885527,143.03199999999995,69.282,24.459412445980988,1.0,1.6889021,17.415768194070086,42.69938539378856,133.07220383275262,101.55276549716841,96.07581761430916,22.72441689295281,9.947050509492751,8.862432896129594,133.53548,0.498567
