,z,F22,F100,F160,F250,F350,F500,E22,E100,E160,E250,E350,E500,ra,dec
0,0.05338,157.47079,5466.0774660045645,4145.418005168233,1569.866,575.628,182.058,14.466176912832356,155.89190028713628,172.60897943145008,63.22263161819191,24.392764501269635,11.144428230393878,136.004545,1.4581540000000002
2,0.10216,15.588345,2179.257466004565,1832.3280051682327,741.186,307.643,93.542,1.7341849518062205,72.79147962301002,87.58171355875652,30.53629470897869,14.675379406284526,9.133586000164447,136.895016,1.417973
5,0.07071000000000001,57.121553000000006,1457.1974660045655,1309.978005168233,547.855,215.467,70.835,5.362561955472446,57.557663720836594,71.0235374977146,22.993209489760236,11.549994196639235,8.704082694919665,130.763495,0.981884
6,0.05546,17.914306,1139.0421421753615,1263.34032224074,713.7405558586419,289.62027021658423,105.26899999999999,1.964257389065193,112.66302165528359,112.12606601802696,34.43932419087002,21.168370992415163,9.855781084094756,138.573251,-1.213869
7,0.07107000000000001,83.099805,2318.212452476057,1791.2058127754062,604.276180308535,237.364,77.452,7.8013960009472045,104.89445997497916,101.43490896216652,27.751134739704558,12.502995424841199,9.125019928000158,135.142436,1.315774
9,0.18183,20.081678,707.2604660045654,750.1200051682332,397.909,175.63500000000005,57.275,2.1208660923585443,45.66546060845196,56.559376903354796,17.171361380205127,10.21026572426007,8.192840594079687,137.456726,1.8132990000000002
13,0.05267,10.452014,928.0824660045654,1013.848005168233,465.726,204.562,67.49900000000001,1.691239309048674,38.79314659107963,52.85791584752248,19.94188023536397,11.4890036099916,8.994786490050776,135.4729,0.395779
14,0.0571,27.4916,1287.3953560296927,1000.9402242883496,572.4799530794078,223.42682734942247,75.437,3.134500789526079,110.31918555337795,98.43538995502884,30.136034173137013,15.360544407249565,9.306750321696613,140.670587,2.111456
15,0.050589999999999996,33.635665,1175.2194102329065,1336.9364613247228,604.6284894887838,258.97677925691687,96.226,3.332786069251308,120.06813937043142,112.92100811408415,31.875769362987644,18.764532275302184,9.672796127366688,130.13141399999998,2.187662
17,0.05446,74.679255,1207.4774660045653,1042.308005168233,358.509,135.792,48.049,6.991617735288143,44.228225745950795,53.736285579024255,15.747188985009355,9.176271771389509,7.9168383993612,138.024383,0.448744
19,0.051410000000000004,194.80495,1568.3984941145036,1338.987372788228,503.13593073403837,207.79891670376065,59.133,18.189414461100885,100.23635169948379,101.18852068163716,28.63867749518073,19.398050228134018,9.148076721497258,130.61788700000002,-0.271567
26,0.05345,48.261408,1499.957466004565,1186.1380051682331,419.026,154.172,50.101000000000006,4.584529639436111,58.382453796718934,67.45185296148031,18.26303564256501,10.248951406578136,9.02433251390927,136.94567800000002,0.5749529999999999
27,0.05087,20.211568,645.4929999999998,966.22,422.221,199.22099999999998,86.73,2.10589972961974,44.96826604760636,61.582504184955,18.478850547195844,11.436416394378092,9.567152378842934,129.821393,-0.613483
28,0.07176,70.27485999999999,1170.6674660045653,809.7550051682332,299.975,112.477,45.21,6.5792696555656365,43.473373396320675,46.887779783670794,13.624614379864113,8.651810264123919,7.895879087220117,134.450041,0.778263
30,0.05322999999999999,15.0522,923.3145282618783,711.8398796471757,525.9520248641046,235.0782564350668,77.58800000000002,1.6583927886963417,129.6552675123028,112.93059490758857,30.948344962757588,19.153105613390263,9.211556078665536,129.306795,-1.64914
31,0.05822000000000001,7.3451386,545.1238415508121,755.8370544529258,387.97631439906365,159.65200000000002,64.839,1.771861357829955,82.77763134565254,84.3881524242267,23.374268627178253,10.548688722604341,9.312448092397617,133.709307,2.202207
35,0.07357999999999999,28.392263,896.6088175714948,862.1985273924098,398.3792199971527,200.36221648530662,80.81,2.8132441817823257,71.54529677884936,76.4198256019354,27.87904196131681,24.898159720586733,9.377697945658094,129.941684,1.8850200000000001
36,0.053779999999999994,14.099379,541.1044660045653,682.0180051682331,276.275,124.209,40.264,1.6317717640012597,32.7863929569437,43.51524466905649,12.799623627279045,8.909019367450043,7.912642574614376,135.02082099999998,0.079763
41,0.05042,16.05462,716.4654660045654,734.1300051682331,349.941,164.65900000000002,64.36500000000001,2.276861371750305,45.7738489666066,56.22268281958178,15.779435400850055,10.520729729899918,9.288928364456256,133.44374299999998,0.214565
44,0.09368,10.509934,471.43946600456536,649.1390051682331,321.612,139.308,44.72000000000001,2.0081633031426938,43.30271794417954,54.5241725943575,14.778562909511873,9.9075533903381,8.676399336130165,136.804802,-0.056273000000000004
46,0.059370000000000006,12.178673,555.8364660045654,703.753005168233,335.07099999999997,143.857,48.408,1.552344168880862,44.05328030091756,55.597700922819726,15.352240522659876,9.953008556130152,8.786024990995642,132.79806200000002,1.50171
47,0.052039999999999996,14.655478,573.3243415363281,662.0533500131368,379.8020347753465,162.97396797423065,47.754,1.6069353542928484,88.50327708176847,87.34120667423704,21.8534211964898,16.652061487384223,8.927740600263878,129.604097,-1.606676
48,0.14219,14.6825,713.8114660045653,671.329005168233,322.7510000000001,151.362,44.729,1.6098982203447396,45.742480893212786,54.9524093497116,14.857673061472314,10.151991384472307,8.977098779984543,138.63425900000001,-1.132148
49,0.051870000000000006,27.139384000000003,633.7214660045654,815.4400051682331,311.374,115.205,40.46700000000001,2.6996541012855118,44.84146629425938,57.987782536462184,14.369327910573965,9.41660508038858,8.752972577496173,136.386225,2.039066
50,0.052329999999999995,10.984998,365.3630683688373,514.0866482120454,252.9538885336071,107.1,37.654,1.4073761225362864,50.94041203660625,54.27511842853807,16.842900479395944,8.556652674965836,7.829240508861637,134.618922,0.637692
51,0.13241,19.089740000000006,661.2594660045653,591.509005168233,232.93099999999998,93.891,26.579,2.586957326721212,34.41225115499001,41.34188516168778,11.360500042586153,8.28956764913587,7.6888577946012235,131.628123,0.848814
