,z,LIR_med,LIR_16th,LIR_84th,LPeak_med,LPeak_16th,LPeak_84th,alpha_med,alpha_16th,alpha_84th,beta_med,beta_16th,beta_84th,tdust_med,tdust_16th,tdust_84th
19,0.051410000000000004,11.258104991200957,0.026244151028679746,0.026106967770565585,104.22609785052366,5.487301113281163,5.056335587612523,1.5539663884121513,0.1230007955199941,0.14334482464431564,1.9970630433690446,0.18858576599876087,0.19101407969911843,45.466013763012654,2.4419583159433316,2.8192645770407267
26,0.05345,11.11319719427756,0.021061143970639358,0.022633322938813,101.43378082983801,3.794812337271921,3.565825417700964,2.839992578674895,0.16430006191298707,0.18628598667518315,2.1631371212811192,0.1657675208322298,0.16689223860281954,47.90784045096791,1.7868220661126912,1.946726584291298
27,0.05087,10.711903054908246,0.018852765355897083,0.018890678848768244,131.22625601186297,3.6131928976393226,3.4853706607669324,2.35998684754279,0.09582775877877658,0.10682703330135723,1.7940577914976952,0.17260834286484283,0.1773951390463382,32.29249232338715,1.1778951334675298,1.2634189851852113
28,0.07176,11.35017109874843,0.0233327439205966,0.026246651144126703,89.7799740174157,4.165198129174911,4.053157103497881,2.494719916228341,0.18307478500122532,0.21408949107245778,1.891898243138449,0.17793961723184926,0.1806657444654236,54.7733282688841,2.439942584202093,2.6248212277259952
30,0.05322999999999999,10.784396430762229,0.043467444318777866,0.046829147070558644,129.89464140277212,6.9507449520751265,7.085944785488863,2.6924883635510612,0.1813958304685177,0.20414156202147105,1.785961861346765,0.19701466451034588,0.19216395217837734,32.76413811862702,2.3959049964200965,2.543933919382482
31,0.05822000000000001,10.698943871029243,0.0398933234402492,0.04149189986299729,134.33016266202043,5.781377267365372,5.788238571033816,2.8857146019518867,0.200784817600701,0.2290203307904055,2.0032969963632237,0.20916424131443878,0.2164454020578468,31.296492135241245,1.9420015224110116,2.0111550909260885
35,0.07357999999999999,11.161522700076207,0.028658642911820645,0.03195910937692918,111.44967437141102,5.6533352160122945,5.232686229695815,2.51020493307686,0.15353466700583773,0.1830511383651463,1.4764754692158868,0.20071364508408096,0.19925421032511315,40.05691936125319,2.1721333481896608,2.5468937867178596
36,0.053779999999999994,10.650086766253654,0.01942246923007762,0.02002721045523501,125.00203130332167,3.740412808314744,3.4034773480859997,2.53109474569397,0.11174457334342547,0.12319182384993699,2.0662865964029167,0.19499855446576775,0.18969294973288875,35.011858711754925,1.2251682105057213,1.3460028165460258
41,0.05042,10.694736760734916,0.023503242766760454,0.024321544794518063,119.05961017112594,4.335942097550742,4.090806019867443,2.7042107182723876,0.14713836043426465,0.16723174962594012,1.6302492774820196,0.1824341302495862,0.18621877183838764,36.871107718912064,1.5497597926874889,1.7197490525444792
44,0.09368,11.101153522704372,0.02623647947438424,0.02715274023807691,129.18715918471747,4.049349794032196,3.8795944197641745,2.5776392271937683,0.15093012588249444,0.17107624935273957,2.078820371872492,0.19713133737506428,0.19312637715537706,33.293227487913896,1.3740810111252628,1.4607519804148978
