,z,LIR_med,LIR_16th,LIR_84th,LPeak_med,LPeak_16th,LPeak_84th,alpha_med,alpha_16th,alpha_84th,beta_med,beta_16th,beta_84th,tdust_med,tdust_16th,tdust_84th,sigma_clipped
411,0.048139999999999995,10.539374133532286,0.026392834827007088,0.027043726368496994,109.89299611963949,4.536735630001914,4.961384297952179,2.664758315387623,0.16865614004020557,0.19364955557528019,1.7308905693401946,0.2548779813005806,0.2666873780267507,41.35383785554468,1.9887439033636838,1.93379709589302,
412,0.04865,11.08427384325233,0.01645181883212424,0.01652947820300984,124.0025445576599,3.2854780117116746,3.1878550149760656,2.3267403007643175,0.08371059613350607,0.09224084634601892,2.0490161411890417,0.12735703924248565,0.13196909773083032,35.380123410975855,1.1923531184711464,1.2395314936456572,
413,0.049339999999999995,10.597527316422108,0.03457470859567272,0.035460953633575064,159.0165681019111,7.9248439316774295,8.976980881297834,1.899128300206979,0.10462403690692934,0.10760665588169926,2.0955529469202765,0.24372485634546392,0.2703792696836067,24.1858956186334,2.3087835948257194,2.1347069337946714,
414,0.05,10.566786565859713,0.0337919072758572,0.0343110305170602,161.2421575061392,7.29498962353415,7.91423421661716,2.050965601880624,0.11146843948316931,0.10924845594070165,2.550281130218809,0.26648688503511897,0.3067429365899321,23.09960616899739,2.144582902684114,2.0630402322162738,
415,0.05185,10.645977595667274,0.04101964740544402,0.03875241157810358,113.66454812393133,6.1903798644316055,7.1610371912634605,2.1980862955256026,0.15633128728861667,0.14333509121625232,2.023197752101474,0.3423629195655611,0.35731404549811874,40.33918360526715,2.888484907584335,2.5376332544327056,
416,0.052039999999999996,10.587157525802255,0.03665038859767004,0.03687753150323554,148.25846453103154,7.134741537090264,8.227881116335567,2.0013771948977865,0.11975420330576347,0.11493021994320696,2.373636487991913,0.28945013533211394,0.3126052545350775,26.806484982896023,2.470646633574372,2.2403696844626424,
417,0.05227999999999999,10.631469059029218,0.031220885154266388,0.02957990415999425,135.48109139239384,5.774477715732445,6.6414417656500575,1.9144394211326574,0.09695317353520494,0.10084944729391765,1.976010940468922,0.2635390907837327,0.2859148306651642,30.893633298874036,2.154067230523683,1.9875887493884221,
418,0.05262000000000001,10.92496707586938,0.021452249042794528,0.021531971816923574,119.11236577391048,4.632983144498908,4.434248211953005,2.0833077574353367,0.08511648939698024,0.08895713049136145,2.092081182236363,0.20444304862306795,0.207247376590046,37.75091003455739,1.695258043661127,1.81122808081588,
419,0.0532,10.57528875741363,0.02797026322444536,0.028974915163380795,114.20378041134315,5.817292006103713,5.687740655606163,2.247123447220389,0.13101330379882148,0.14900076096321824,1.9383389844244796,0.2961852239556362,0.3118943578313935,39.76931608961824,2.2069181174371764,2.3853775755907733,
420,0.05376,10.926226189901012,0.014835061123399258,0.014664287705385007,121.82950764548721,3.123206197159817,3.017709045254321,2.2892468931478756,0.07710870458558183,0.08742014484045324,2.004067940138438,0.15867219810155975,0.16404962658671485,36.25711797215614,1.0808293875210637,1.1556477688978504,
